date,bitcoin,priceUsd_x,time_x,ethereum,priceUsd_y,time_y,tether,priceUsd,time,solana
2022-01-06 00:00:00+00:00,43197.81032071956,3433.6780955662049485,1641427200000.0,3433.678095566205,1.0028967961680729,1641427200000.0,1.0028967961680728,150.6753594423793394,1641427200000.0,150.67535944237932
2022-01-07 00:00:00+00:00,42156.80024705061,3253.0071537787314766,1641513600000.0,3253.0071537787317,1.0044767054899815,1641513600000.0,1.0044767054899817,140.6131816722601680,1641513600000.0,140.61318167226017
2022-01-08 00:00:00+00:00,41767.73439505918,3173.6036759257964890,1641600000000.0,3173.6036759257963,1.0027707528371362,1641600000000.0,1.0027707528371361,142.2276591979383941,1641600000000.0,142.2276591979384
2022-01-09 00:00:00+00:00,42027.940157251454,3143.2584951021552096,1641686400000.0,3143.2584951021554,1.0034436661154565,1641686400000.0,1.0034436661154564,142.0376734432463799,1641686400000.0,142.03767344324635
2022-01-10 00:00:00+00:00,41712.96839306378,3106.1895311664630788,1641772800000.0,3106.189531166463,1.0029329501003158,1641772800000.0,1.0029329501003157,138.3552404339188866,1641772800000.0,138.35524043391888
2022-01-11 00:00:00+00:00,42271.70189699506,3154.9384481004427244,1641859200000.0,3154.9384481004427,1.0020570089122159,1641859200000.0,1.002057008912216,138.1316786761145129,1641859200000.0,138.13167867611452
2022-01-12 00:00:00+00:00,43256.18260590144,3304.7157945915276164,1641945600000.0,3304.715794591528,1.0019665907892142,1641945600000.0,1.0019665907892141,145.0275972925369540,1641945600000.0,145.02759729253697
2022-01-13 00:00:00+00:00,43461.37873752593,3328.8397216234657891,1642032000000.0,3328.8397216234657,1.0020171311960403,1642032000000.0,1.0020171311960404,150.9737438801789732,1642032000000.0,150.97374388017897
2022-01-14 00:00:00+00:00,42802.53044491914,3276.5555067499653429,1642118400000.0,3276.5555067499654,1.0020866756173960,1642118400000.0,1.002086675617396,146.9247239531041290,1642118400000.0,146.92472395310412
2022-01-15 00:00:00+00:00,43224.62650655024,3332.1083253411998865,1642204800000.0,3332.1083253412,1.0025208738155955,1642204800000.0,1.0025208738155955,146.8377985557007274,1642204800000.0,146.83779855570072
2022-01-16 00:00:00+00:00,43190.26891368414,3339.0118110683452604,1642291200000.0,3339.0118110683447,1.0025684787461633,1642291200000.0,1.0025684787461633,148.7831651629167525,1642291200000.0,148.78316516291676
2022-01-17 00:00:00+00:00,42624.340109924415,3261.6929948432220962,1642377600000.0,3261.692994843222,1.0023296741301728,1642377600000.0,1.0023296741301728,142.5898068145166404,1642377600000.0,142.58980681451663
2022-01-18 00:00:00+00:00,42013.414686996475,3167.5749588827801796,1642464000000.0,3167.57495888278,1.0022193772392343,1642464000000.0,1.0022193772392345,138.6429920332512730,1642464000000.0,138.6429920332513
2022-01-19 00:00:00+00:00,41982.20669713448,3122.6576554892370910,1642550400000.0,3122.6576554892367,1.0020620201253535,1642550400000.0,1.0020620201253536,137.3252451712369906,1642550400000.0,137.325245171237
2022-01-20 00:00:00+00:00,42277.340568753774,3158.7399862396467749,1642636800000.0,3158.739986239647,1.0020996916713720,1642636800000.0,1.002099691671372,137.7486396722747142,1642636800000.0,137.74863967227472
2022-01-21 00:00:00+00:00,38768.02194168501,2825.3491079852757180,1642723200000.0,2825.349107985276,1.0029066471264370,1642723200000.0,1.002906647126437,122.4173164636357715,1642723200000.0,122.41731646363576
2022-01-22 00:00:00+00:00,35615.05760435285,2473.8669394012615198,1642809600000.0,2473.8669394012613,1.0036068169096895,1642809600000.0,1.0036068169096897,100.7149012327507577,1642809600000.0,100.71490123275076
2022-01-23 00:00:00+00:00,35535.84375937379,2463.6085439953804085,1642896000000.0,2463.6085439953804,1.0038519823292600,1642896000000.0,1.00385198232926,98.5192787378760568,1642896000000.0,98.51927873787604
2022-01-24 00:00:00+00:00,35184.82322767571,2370.6458061212100104,1642982400000.0,2370.64580612121,1.0032001130769983,1642982400000.0,1.0032001130769983,88.8315659927361157,1642982400000.0,88.83156599273612
2022-01-25 00:00:00+00:00,36585.76104177224,2427.2526086404486560,1643068800000.0,2427.2526086404487,1.0029114982825011,1643068800000.0,1.0029114982825011,92.3367933212646406,1643068800000.0,92.33679332126464
2022-01-26 00:00:00+00:00,37593.28629029538,2522.0867296800943070,1643155200000.0,2522.0867296800943,1.0032405272145043,1643155200000.0,1.0032405272145044,96.0275504757814625,1643155200000.0,96.02755047578145
2022-01-27 00:00:00+00:00,36443.72778061912,2429.1807084532030791,1643241600000.0,2429.1807084532034,1.0031318116735316,1643241600000.0,1.0031318116735315,90.0916381330748589,1643241600000.0,90.09163813307485
2022-01-28 00:00:00+00:00,37195.33378568701,2450.3525851834172647,1643328000000.0,2450.352585183417,1.0051299560416398,1643328000000.0,1.0051299560416398,90.9914930915917091,1643328000000.0,90.9914930915917
